Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry
GLNG,Golar LNG Limited,18.04,$1.69B,n/a,Consumer Services,Marine Transportation
GMLP,Golar LNG Partners LP,17.13,$1.05B,2011,Consumer Services,Marine Transportation
GLDC,"Golden Enterprises, Inc.",5.65,$63.8M,n/a,Consumer Non-Durables,Packaged Foods
GDEN,"Golden Entertainment, Inc.",12.63,$277.9M,n/a,Consumer Services,Services-Misc. Amusement & Recreation
GOGL,Golden Ocean Group Limited,0.7122,$367.75M,n/a,Consumer Services,Marine Transportation
GBDC,"Golub Capital BDC, Inc.",17.12,$881.87M,2010,n/a,n/a
GTIM,Good Times Restaurants Inc.,3.59,$44.04M,n/a,Consumer Services,Restaurants
GPRO,"GoPro, Inc.",9.46,$1.31B,2014,Miscellaneous,Industrial Machinery/Components
GMAN,"Gordmans Stores, Inc.",2.4,$47.17M,2010,Consumer Services,Clothing/Shoe/Accessory Stores
GRSH,"Gores Holdings, Inc.",9.6,$450M,2015,Finance,Business Services
GRSHU,"Gores Holdings, Inc.",9.76,n/a,2015,Finance,Business Services
GRSHW,"Gores Holdings, Inc.",0.25,n/a,2015,Finance,Business Services
GPIA,GP Investments Acquisition Corp.,9.85,$212.39M,2015,Finance,Business Services
GPIAU,GP Investments Acquisition Corp.,10.24,n/a,2015,Finance,Business Services
GPIAW,GP Investments Acquisition Corp.,0.65,n/a,2015,Finance,Business Services
LOPE,"Grand Canyon Education, Inc.",41.9,$1.95B,2008,Consumer Services,Other Consumer Services
GRVY,"GRAVITY Co., Ltd.",3.51,$12.2M,2005,Miscellaneous,Business Services
GBSN,"Great Basin Scientific, Inc.",2.43,"$226,599.93 ",2014,Health Care,Medical/Dental Instruments
GLDD,Great Lakes Dredge & Dock Corporation,4.49,$272.35M,n/a,Basic Industries,Military/Government/Technical
GSBC,"Great Southern Bancorp, Inc.",37.7,$523.8M,1989,Finance,Major Banks
GNBC,"Green Bancorp, Inc.",7.52,$261.61M,2014,Finance,Major Banks
GRBK,"Green Brick Partners, Inc.",7.04,$343.79M,n/a,Capital Goods,Homebuilding
GPP,Green Plains Partners LP,13.87,$440.86M,2015,Basic Industries,Major Chemicals
GPRE,"Green Plains, Inc.",15.62,$600.81M,n/a,Basic Industries,Major Chemicals
GCBC,"Greene County Bancorp, Inc.",17.94,$151.73M,n/a,Finance,Banks
GLRE,"Greenlight Reinsurance, Ltd.",20.69,$770.34M,2007,Finance,Property-Casualty Insurers
GRIF,"Griffin Industrial Realty, Inc.",26.39,$135.98M,n/a,Finance,Real Estate
GRFS,"Grifols, S.A.",14.9,$10.24B,n/a,Health Care,Major Pharmaceuticals
GRPN,"Groupon, Inc.",3.46,$2.01B,2011,Technology,Advertising
OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,46.9,$2.3B,2006,Transportation,Aerospace
GGAL,Grupo Financiero Galicia S.A.,29.04,$3.78B,n/a,Finance,Commercial Banks
GSIG,"GSI Group, Inc.",14.77,$509.86M,n/a,Miscellaneous,Industrial Machinery/Components
GSIT,"GSI Technology, Inc.",3.84,$85.8M,2007,Technology,Semiconductors
GSVC,GSV Capital Corp,5.46,$121.11M,2011,n/a,n/a
GTXI,"GTx, Inc.",0.713,$101.07M,2004,Health Care,Major Pharmaceuticals
