Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry
LARK,Landmark Bancorp Inc.,25.01,$89.4M,n/a,Finance,Major Banks
LMRK,Landmark Infrastructure Partners LP,15.26,$229.07M,2014,Consumer Services,Real Estate
LMRKP,Landmark Infrastructure Partners LP,24.92,n/a,n/a,Consumer Services,Real Estate
LE,"Lands&#39; End, Inc.",20.9,$668.17M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
LSTR,"Landstar System, Inc.",66.15,$2.8B,1993,Transportation,Trucking Freight/Courier Services
LNTH,"Lantheus Holdings, Inc.",2.19,$71.67M,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
LTRX,"Lantronix, Inc.",1.17,$17.81M,2000,Technology,Computer Communications Equipment
LPSB,"LaPorte Bancorp, Inc.",15.89,$88.67M,n/a,Finance,Banks
LSCC,Lattice Semiconductor Corporation,5.52,$656.85M,n/a,Technology,Semiconductors
LAWS,"Lawson Products, Inc.",18.93,$166.04M,n/a,Consumer Durables,Industrial Specialties
LAYN,Layne Christensen Company,8.95,$177.23M,1992,Basic Industries,Engineering & Construction
LCNB,LCNB Corporation,17.1,$169.2M,n/a,Finance,Major Banks
LDRH,LDR Holding Corporation,23.31,$680.92M,2013,Health Care,Medical/Dental Instruments
LBIX,Leading Brands Inc,1.9776,$5.68M,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
LGCY,Legacy Reserves LP,2.62,$182.12M,2007,Energy,Oil & Gas Production
LGCYO,Legacy Reserves LP,5.41,$37.87M,n/a,Energy,Oil & Gas Production
LGCYP,Legacy Reserves LP,5.32,$10.64M,n/a,Energy,Oil & Gas Production
LTXB,"LegacyTexas Financial Group, Inc.",24.46,$1.17B,n/a,Finance,Savings Institutions
DDBI,Legg Mason Developed EX-US Diversified Core ETF,24.9199,n/a,n/a,n/a,n/a
EDBI,Legg Mason Emerging Markets Diversified Core ETF,26.61,n/a,n/a,n/a,n/a
LVHD,Legg Mason Low Volatility High Dividend ETF,27.16,n/a,n/a,n/a,n/a
UDBI,Legg Mason US Diversified Core ETF,25.81,n/a,n/a,n/a,n/a
LMAT,"LeMaitre Vascular, Inc.",15.6,$286.72M,2006,Health Care,Medical/Dental Instruments
TREE,"LendingTree, Inc.",70.72,$839.88M,n/a,Finance,Finance: Consumer Services
LXRX,"Lexicon Pharmaceuticals, Inc.",12.32,$1.28B,n/a,Health Care,Major Pharmaceuticals
LGIH,"LGI Homes, Inc.",26.58,$538.79M,2013,Capital Goods,Homebuilding
LHCG,LHC Group,42.6,$772M,2005,Health Care,Medical/Nursing Services
LBRDA,Liberty Broadband Corporation,59.77,$6.18B,n/a,Consumer Services,Television Services
LBRDK,Liberty Broadband Corporation,59.42,$6.14B,n/a,Consumer Services,Television Services
LBTYA,Liberty Global plc,37.19,$31.37B,n/a,Consumer Services,Television Services
LBTYB,Liberty Global plc,36.97,$31.18B,n/a,Consumer Services,Television Services
LBTYK,Liberty Global plc,36.28,$30.6B,n/a,Consumer Services,Television Services
LILA,Liberty Global plc,39.45,$33.27B,n/a,Consumer Services,Television Services
LILAK,Liberty Global plc,41.67,$35.14B,n/a,Consumer Services,Television Services
LVNTA,Liberty Interactive Corporation,38.66,$24.34B,n/a,Consumer Services,Catalog/Specialty Distribution
LVNTB,Liberty Interactive Corporation,39.13,$24.63B,n/a,Consumer Services,Catalog/Specialty Distribution
QVCA,Liberty Interactive Corporation,26.24,$16.52B,n/a,Consumer Services,Catalog/Specialty Distribution
QVCB,Liberty Interactive Corporation,25.8797,$16.29B,n/a,Consumer Services,Catalog/Specialty Distribution
BATRA,Liberty Media Corporation,16.57,n/a,n/a,Consumer Services,Broadcasting
BATRK,Liberty Media Corporation,16.33,$7.57B,n/a,Consumer Services,Broadcasting
LMCA,Liberty Media Corporation,19.07,n/a,n/a,Consumer Services,Broadcasting
LMCK,Liberty Media Corporation,18.59,$8.62B,n/a,Consumer Services,Broadcasting
LSXMA,Liberty Media Corporation,32.27,n/a,n/a,Consumer Services,Broadcasting
LSXMB,Liberty Media Corporation,32.9,n/a,n/a,Consumer Services,Broadcasting
LSXMK,Liberty Media Corporation,31.54,$14.62B,n/a,Consumer Services,Broadcasting
TAX,"Liberty Tax, Inc.",11.24,$144.68M,n/a,Miscellaneous,Multi-Sector Companies
LTRPA,"Liberty TripAdvisor Holdings, Inc.",22.1,$1.65B,n/a,Technology,EDP Services
LTRPB,"Liberty TripAdvisor Holdings, Inc.",22.035,$1.65B,n/a,Technology,EDP Services
LPNT,"LifePoint Health, Inc.",67.56,$2.93B,n/a,Health Care,Hospital/Nursing Management
LCUT,"Lifetime Brands, Inc.",15.57,$218.46M,1991,Capital Goods,Industrial Machinery/Components
LFVN,Lifevantage Corporation,10.98,$153.81M,n/a,Health Care,Major Pharmaceuticals
LWAY,"Lifeway Foods, Inc.",9.34,$151.2M,n/a,Consumer Non-Durables,Packaged Foods
LGND,Ligand Pharmaceuticals Incorporated,116.37,$2.42B,n/a,Health Care,Major Pharmaceuticals
LTBR,Lightbridge Corporation,0.4699,$10.02M,n/a,Consumer Services,Professional Services
LPTH,"LightPath Technologies, Inc.",1.81,$28.22M,1996,Technology,Semiconductors
LLEX,"Lilis Energy, Inc.",0.165,$4.81M,n/a,Energy,Oil & Gas Production
LIME,Lime Energy Co.,2.688,$25.84M,n/a,Basic Industries,Engineering & Construction
LLNW,"Limelight Networks, Inc.",1.48,$153.05M,2007,Miscellaneous,Business Services
LMNR,Limoneira Co,16.26,$230.44M,n/a,Consumer Non-Durables,Farming/Seeds/Milling
LINC,Lincoln Educational Services Corporation,1.75,$41.88M,2005,Consumer Services,Other Consumer Services
LECO,"Lincoln Electric Holdings, Inc.",61.01,$4.2B,n/a,Technology,Industrial Machinery/Components
LIND,Lindblad Expeditions Holdings Inc.,10.06,$457.78M,2013,Consumer Services,Transportation Services
LINDW,Lindblad Expeditions Holdings Inc.,2.49,n/a,2013,Consumer Services,Transportation Services
LLTC,Linear Technology Corporation,44.24,$10.58B,1986,Technology,Semiconductors
LNCO,"Linn Co, LLC",0.3441,$44.23M,2012,Energy,Oil & Gas Production
LINE,"Linn Energy, LLC",0.331,$117.58M,2006,Energy,Oil & Gas Production
LBIO,"Lion Biotechnologies, Inc.",5.17,$251.1M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LIOX,"Lionbridge Technologies, Inc.",4.38,$281.08M,1999,Miscellaneous,Business Services
LPCN,Lipocine Inc.,8.01,$146.21M,n/a,Health Care,Major Pharmaceuticals
LQDT,"Liquidity Services, Inc.",6.17,$189.58M,2006,Miscellaneous,Business Services
LFUS,"Littelfuse, Inc.",111.3,$2.5B,n/a,Consumer Durables,Electrical Products
LIVN,LivaNova PLC,47.07,$2.3B,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
LOB,"Live Oak Bancshares, Inc.",16,$546.85M,2015,Finance,Major Banks
LIVE,Live Ventures Incorporated,1.76,$29.76M,n/a,Technology,EDP Services
LPSN,"LivePerson, Inc.",6.06,$347.72M,2000,Technology,Computer Software: Prepackaged Software
LKQ,LKQ Corporation,32.57,$9.99B,n/a,Consumer Services,Motor Vehicles
LMFA,"LM Funding America, Inc.",8.0784,$26.66M,2015,Finance,Finance: Consumer Services
LMFAW,"LM Funding America, Inc.",0.32,n/a,2015,Finance,Finance: Consumer Services
LMIA,"LMI Aerospace, Inc.",8.44,$111.65M,1998,Capital Goods,Military/Government/Technical
LOGI,Logitech International S.A.,14.97,$2.44B,1997,Technology,Computer peripheral equipment
LOGM,"LogMein, Inc.",59.28,$1.48B,2009,Technology,Computer Software: Prepackaged Software
EVAR,"Lombard Medical, Inc.",1.57,$31.22M,2014,Health Care,Medical/Dental Instruments
CNCR,Loncar Cancer Immunotherapy ETF,21.23,n/a,n/a,n/a,n/a
LORL,"Loral Space and Communications, Inc.",35.51,$1.1B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
LOXO,"Loxo Oncology, Inc.",22.44,$442.26M,2014,Health Care,Major Pharmaceuticals
LPTN,"Lpath, Inc.",0.192,$6.36M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LPLA,LPL Financial Holdings Inc.,24.57,$2.19B,2010,Finance,Investment Bankers/Brokers/Service
LRAD,LRAD Corporation,1.77,$56.41M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances
LYTS,LSI Industries Inc.,12.21,$304.25M,1985,Consumer Durables,Building Products
LULU,lululemon athletica inc.,61.99,$7.9B,2007,Consumer Non-Durables,Apparel
LITE,Lumentum Holdings Inc.,23.72,$1.41B,n/a,Consumer Durables,Telecommunications Equipment
LMNX,Luminex Corporation,19.99,$866.38M,2000,Health Care,Medical/Dental Instruments
LMOS,Lumos Networks Corp.,12.84,$298.96M,n/a,Public Utilities,Telecommunications Equipment
LUNA,Luna Innovations Incorporated,1.06,$29.3M,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch
MBTF,M B T Financial Corp,8.25,$188.92M,n/a,Finance,Major Banks
MTSI,"M/A-COM Technology Solutions Holdings, Inc.",37.89,$2.02B,2012,Technology,Semiconductors
MCBC,Macatawa Bank Corporation,7.08,$240.19M,n/a,Finance,Major Banks
MFNC,Mackinac Financial Corporation,10.54,$65.73M,n/a,Finance,Major Banks
MCUR,MACROCURE LTD.,1.08,$18.42M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MGNX,"MacroGenics, Inc.",17.62,$608.69M,2013,Health Care,Major Pharmaceuticals
MAGS,Magal Security Systems Ltd.,4.64,$76.09M,1993,Consumer Durables,Telecommunications Equipment
MGLN,"Magellan Health, Inc.",66.45,$1.65B,n/a,Health Care,Hospital/Nursing Management
MPET,Magellan Petroleum Corporation,1.11,$6.4M,n/a,Energy,Oil & Gas Production
MGIC,Magic Software Enterprises Ltd.,6.67,$295.72M,1991,Technology,Computer Software: Prepackaged Software
CALL,magicJack VocalTec Ltd,6.37,$100.94M,n/a,Public Utilities,Telecommunications Equipment
MNGA,MagneGas Corporation,1,$45.75M,n/a,Technology,Industrial Machinery/Components
MGYR,"Magyar Bancorp, Inc.",10.23,$59.53M,n/a,Finance,Savings Institutions
MHLD,"Maiden Holdings, Ltd.",12.41,$916.63M,n/a,Finance,Property-Casualty Insurers
MHLDO,"Maiden Holdings, Ltd.",48.11,$158.76M,n/a,Finance,Property-Casualty Insurers
MSFG,"MainSource Financial Group, Inc.",21.16,$457.61M,n/a,Finance,Major Banks
COOL,Majesco Entertainment Company,0.8898,$10.62M,n/a,Technology,Computer Software: Prepackaged Software
MMYT,MakeMyTrip Limited,17.26,$717.18M,2010,Consumer Services,Transportation Services
MBUU,"Malibu Boats, Inc.",14.17,$253.92M,2014,Capital Goods,Marine Transportation
MLVF,"Malvern Bancorp, Inc.",15.7347,$103.23M,n/a,Finance,Banks
MAMS,"MAM Software Group, Inc.",6.4,$79.66M,n/a,Technology,Computer Software: Prepackaged Software
MANH,"Manhattan Associates, Inc.",60.29,$4.35B,1998,Technology,Computer Software: Prepackaged Software
LOAN,"Manhattan Bridge Capital, Inc",4.23,$30.76M,n/a,Consumer Services,Real Estate Investment Trusts
MNTX,"Manitex International, Inc.",6.57,$105.95M,n/a,Technology,Industrial Machinery/Components
MTEX,"Mannatech, Incorporated",18.725,$50.5M,n/a,Consumer Durables,Specialty Chemicals
MNKD,MannKind Corporation,0.9021,$386.87M,2004,Health Care,Major Pharmaceuticals
MANT,ManTech International Corporation,34.33,$1.29B,2002,Consumer Services,Other Consumer Services
MAPI,Mapi - Pharma Ltd.,n/a,n/a,n/a,n/a,n/a
MARA,"Marathon Patent Group, Inc.",1.7,$25.44M,n/a,Miscellaneous,Multi-Sector Companies
MCHX,"Marchex, Inc.",3.75,$161.48M,2004,Miscellaneous,Business Services
MARPS,Marine Petroleum Trust,5.0296,$10.06M,n/a,Energy,Oil & Gas Production
MRNS,"Marinus Pharmaceuticals, Inc.",4.91,$95.79M,2014,Health Care,Major Pharmaceuticals
MKTX,"MarketAxess Holdings, Inc.",128.71,$4.83B,2004,Finance,Investment Bankers/Brokers/Service
MKTO,"Marketo, Inc.",27.01,$1.2B,2013,Technology,Computer Software: Prepackaged Software
MRKT,Markit Ltd.,34.16,$6.9B,2014,Finance,Investment Bankers/Brokers/Service
MRLN,Marlin Business Services Corp.,14.51,$181.3M,2003,Finance,Major Banks
MAR,Marriott International,68.92,$17.52B,n/a,Consumer Services,Hotels/Resorts
MBII,"Marrone Bio Innovations, Inc.",0.69,$16.96M,2013,Basic Industries,Agricultural Chemicals
MRTN,"Marten Transport, Ltd.",18.64,$604.37M,1986,Transportation,Trucking Freight/Courier Services
MMLP,Martin Midstream Partners L.P.,22.51,$798.09M,2002,Energy,Oil Refining/Marketing
MRVL,Marvell Technology Group Ltd.,9.72,$5.03B,2000,Technology,Semiconductors
MASI,Masimo Corporation,46.29,$2.27B,2007,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MTCH,"Match Group, Inc.",14.54,$3.61B,2015,Technology,"Computer Software: Programming, Data Processing"
MTLS,Materialise NV,6.67,$315.66M,2014,Technology,Computer Software: Prepackaged Software
MTRX,Matrix Service Company,15.34,$408.28M,1990,Basic Industries,Engineering & Construction
MAT,"Mattel, Inc.",30.92,$10.53B,n/a,Consumer Non-Durables,Recreational Products/Toys
MATR,Mattersight Corporation,3.72,$98.93M,n/a,Technology,EDP Services
MATW,Matthews International Corporation,52.37,$1.73B,1994,Capital Goods,Metal Fabrications
MFRM,Mattress Firm Holding Corp.,34.83,$1.29B,2011,Consumer Services,Other Specialty Stores
MTSN,"Mattson Technology, Inc.",3.6,$272.36M,1994,Technology,Industrial Machinery/Components
MXIM,"Maxim Integrated Products, Inc.",36.4,$10.35B,1988,Technology,Semiconductors
MXWL,"Maxwell Technologies, Inc.",5.77,$184.34M,n/a,Miscellaneous,Industrial Machinery/Components
MZOR,Mazor Robotics Ltd.,10.25,$217.89M,n/a,Health Care,Medical/Dental Instruments
MBFI,MB Financial Inc.,34.56,$2.55B,n/a,Finance,Major Banks
MBFIP,MB Financial Inc.,26.908,$107.63M,n/a,Finance,Major Banks
MCFT,"MCBC Holdings, Inc.",13.07,$242.48M,2015,Capital Goods,Marine Transportation
MGRC,McGrath RentCorp,26.34,$629.48M,1984,Technology,Diversified Commercial Services
MDCA,MDC Partners Inc.,16.98,$847.9M,n/a,Technology,Advertising
MFIN,Medallion Financial Corp.,7.72,n/a,n/a,n/a,n/a
MFINL,Medallion Financial Corp.,25.8,n/a,n/a,n/a,n/a
MTBC,"Medical Transcription Billing, Corp.",0.98,$10.13M,2014,Technology,Computer Software: Prepackaged Software
MTBCP,"Medical Transcription Billing, Corp.",27.6,$6.39M,n/a,Technology,Computer Software: Prepackaged Software
MNOV,"MediciNova, Inc.",6.89,$222.26M,n/a,Health Care,Major Pharmaceuticals
MDSO,"Medidata Solutions, Inc.",42.12,$2.37B,2009,Technology,Computer Software: Prepackaged Software
MDGS,Medigus Ltd.,1.65,$10.58M,n/a,Health Care,Medical/Dental Instruments
MDVN,"Medivation, Inc.",61.01,$10.04B,n/a,Health Care,Major Pharmaceuticals
MDWD,MediWound Ltd.,7.83,$171.09M,2014,Consumer Durables,Specialty Chemicals
MDVX,Medovex Corp.,1.21,$13.62M,2015,Health Care,Medical/Dental Instruments
MDVXW,Medovex Corp.,0.054,n/a,2015,Health Care,Medical/Dental Instruments
MEET,"MeetMe, Inc.",3.51,$167.52M,n/a,Consumer Services,Advertising
MEIP,"MEI Pharma, Inc.",1.39,$47.48M,n/a,Health Care,Major Pharmaceuticals
MPEL,Melco Crown Entertainment Limited,14.64,$7.96B,2006,Consumer Services,Hotels/Resorts
MLNX,"Mellanox Technologies, Ltd.",41.51,$1.98B,2007,Technology,Semiconductors
MELR,"Melrose Bancorp, Inc.",15.09,$40.77M,2014,Finance,Major Banks
MEMP,Memorial Production Partners LP,2.25,$186.52M,2011,Energy,Oil & Gas Production
MRD,Memorial Resource Development Corp.,13.71,$2.81B,2014,Energy,Oil & Gas Production
MENT,Mentor Graphics Corporation,20.04,$2.14B,1984,Technology,EDP Services
MTSL,MER Telemanagement Solutions Ltd.,1.03,$8.28M,1997,Public Utilities,Telecommunications Equipment
MELI,"MercadoLibre, Inc.",129.7,$5.73B,2007,Miscellaneous,Business Services
MBWM,Mercantile Bank Corporation,23.5,$381.65M,1998,Finance,Major Banks
MERC,Mercer International Inc.,8.74,$565.09M,n/a,Basic Industries,Paper
MBVT,"Merchants Bancshares, Inc.",28.88,$198.02M,n/a,Finance,Major Banks
MRCY,Mercury Systems Inc,20.19,$808.18M,1998,Capital Goods,Electrical Products
EBSB,"Meridian Bancorp, Inc.",14.57,$785.28M,n/a,Finance,Major Banks
VIVO,Meridian Bioscience Inc.,18.91,$795.63M,1986,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
MMSI,"Merit Medical Systems, Inc.",19.24,$851.7M,n/a,Health Care,Medical/Dental Instruments
MACK,"Merrimack Pharmaceuticals, Inc.",6.54,$835.32M,2012,Health Care,Major Pharmaceuticals
MSLI,Merus Labs International Inc.,1.45,$148.77M,n/a,Health Care,Major Pharmaceuticals
MLAB,"Mesa Laboratories, Inc.",105.1,$381.15M,n/a,Capital Goods,Industrial Machinery/Components
MESO,Mesoblast Limited,7,$533.92M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CASH,"Meta Financial Group, Inc.",48.05,$408.62M,1993,Finance,Savings Institutions
MBLX,"Metabolix, Inc.",1.42,$38.86M,2006,Basic Industries,Containers/Packaging
MEOH,Methanex Corporation,30.43,$2.73B,n/a,Basic Industries,Major Chemicals
MFRI,"MFRI, Inc.",6.86,$50.79M,1989,Capital Goods,Pollution Control Equipment
MGCD,MGC Diagnostics Corporation,5.7,$24.72M,n/a,Health Care,Medical/Dental Instruments
MGEE,MGE Energy Inc.,52.08,$1.81B,n/a,Energy,Electric Utilities: Central
MGPI,"MGP Ingredients, Inc.",27.76,$463.23M,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
MCHP,Microchip Technology Incorporated,48.32,$9.83B,1993,Technology,Semiconductors
MU,"Micron Technology, Inc.",10.1,$10.47B,n/a,Technology,Semiconductors
MICT,"Micronet Enertec Technologies, Inc.",2.15,$12.61M,n/a,Capital Goods,Electrical Products
MICTW,"Micronet Enertec Technologies, Inc.",0.18,n/a,n/a,Capital Goods,Electrical Products
MSCC,Microsemi Corporation,32.62,$3.69B,n/a,Technology,Semiconductors
MSFT,Microsoft Corporation,51.05,$401.28B,1986,Technology,Computer Software: Prepackaged Software
MSTR,MicroStrategy Incorporated,185.19,$2.12B,1998,Technology,Computer Software: Prepackaged Software
MVIS,"Microvision, Inc.",1.91,$98.35M,1996,Capital Goods,Industrial Machinery/Components
MPB,Mid Penn Bancorp,15.85,$66.99M,n/a,Finance,Major Banks
MTP,Midatech Pharma PLC,4.79,$80.15M,n/a,Health Care,Major Pharmaceuticals
MCEP,"Mid-Con Energy Partners, LP",3.1,$92.33M,2011,Energy,Oil & Gas Production
MBRG,Middleburg Financial Corporation,27.12,$187.26M,n/a,Finance,Major Banks
MBCN,Middlefield Banc Corp.,31.5,$59.14M,n/a,Finance,Major Banks
MSEX,Middlesex Water Company,37.24,$604.83M,n/a,Public Utilities,Water Supply
MOFG,"MidWestOne Financial Group, Inc.",28.03,$320.31M,n/a,Finance,Major Banks
MIME,Mimecast Limited,7.16,$387.2M,2015,Technology,Computer Software: Prepackaged Software
MDXG,"MiMedx Group, Inc",6.66,$718.02M,n/a,Health Care,Medical/Dental Instruments
MNDO,MIND C.T.I. Ltd.,2.0299,$39.04M,n/a,Technology,EDP Services
MB,"MINDBODY, Inc.",14.26,$566M,2015,Technology,EDP Services
NERV,"Minerva Neurosciences, Inc",6.07,$169.61M,2014,Health Care,Major Pharmaceuticals
MRTX,"Mirati Therapeutics, Inc.",15.69,$312.34M,n/a,Health Care,Major Pharmaceuticals
MIRN,"Mirna Therapeutics, Inc.",4.45,$92.7M,2015,Health Care,Major Pharmaceuticals
MSON,"MISONIX, Inc.",4.5101,$35.13M,1992,Capital Goods,Medical Specialities
MIND,"Mitcham Industries, Inc.",3.535,$42.74M,1994,Technology,Diversified Commercial Services
MITK,"Mitek Systems, Inc.",8.47,$272.86M,n/a,Technology,Computer peripheral equipment
MITL,Mitel Networks Corporation,6.81,$824.62M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
MKSI,"MKS Instruments, Inc.",36.32,$1.94B,1999,Capital Goods,Industrial Machinery/Components
MMAC,"MMA Capital Management, LLC",16.78,$107.58M,n/a,Finance,Real Estate
MINI,"Mobile Mini, Inc.",31.4,$1.4B,1994,Capital Goods,Metal Fabrications
MOBL,"MobileIron, Inc.",3.12,$265.5M,2014,Technology,Computer Software: Prepackaged Software
MOCO,"MOCON, Inc.",13.5,$78.22M,n/a,Capital Goods,Industrial Machinery/Components
MDSY,ModSys International Ltd.,1.6,$29.76M,n/a,Technology,EDP Services
MLNK,"ModusLink Global Solutions, Inc",1.44,$75.91M,n/a,Miscellaneous,Business Services
MOKO,Moko Social Media Ltd.,0.39,$16.38M,2014,Technology,"Computer Software: Programming, Data Processing"
MNTA,"Momenta Pharmaceuticals, Inc.",9.77,$678.98M,2004,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MOMO,Momo Inc.,10.76,$2.06B,2014,Technology,Computer Software: Prepackaged Software
MCRI,"Monarch Casino & Resort, Inc.",19.92,$342.96M,1993,Consumer Services,Hotels/Resorts
MNRK,"Monarch Financial Holdings, Inc.",18.16,$215.76M,n/a,Finance,Major Banks
MDLZ,"Mondelez International, Inc.",44.4,$68.91B,n/a,Consumer Non-Durables,Packaged Foods
MGI,"Moneygram International, Inc.",6.12,$329.08M,n/a,Miscellaneous,Business Services
MPWR,"Monolithic Power Systems, Inc.",62.33,$2.51B,2004,Technology,Semiconductors
TYPE,Monotype Imaging Holdings Inc.,22.73,$924.27M,2007,Technology,EDP Services
MNRO,"Monro Muffler Brake, Inc.",69.3,$2.23B,1991,Consumer Services,Automotive Aftermarket
MRCC,Monroe Capital Corporation,14.35,$186.66M,2012,n/a,n/a
MNST,Monster Beverage Corporation,150.43,$30.54B,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
MHGC,Morgans Hotel Group Co.,2.12,$73.7M,2006,Consumer Services,Hotels/Resorts
MORN,"Morningstar, Inc.",82.24,$3.53B,2005,Finance,Investment Managers
MOSY,"MoSys, Inc.",0.4798,$31.66M,2001,Technology,Semiconductors
MPAA,"Motorcar Parts of America, Inc.",30.52,$559.34M,n/a,Capital Goods,Auto Parts:O.E.M.
MDM,Mountain Province Diamonds Inc.,4.2468,$678.12M,n/a,Basic Industries,Precious Metals
MRVC,"MRV Communications, Inc.",9.3,$64.1M,1992,Technology,Semiconductors
MSBF,MSB Financial Corp.,13.03,$77.57M,n/a,Finance,Savings Institutions
MSG,MSG Networks Inc.,159.92,$3.91B,2015,Consumer Services,Services-Misc. Amusement & Recreation
MTSC,MTS Systems Corporation,47.07,$694.85M,n/a,Capital Goods,Industrial Machinery/Components
LABL,Multi-Color Corporation,60.54,$1.02B,1987,Miscellaneous,Publishing
MFLX,"Multi-Fineline Electronix, Inc.",22.23,$547.62M,2004,Technology,Electrical Products
MFSF,MutualFirst Financial Inc.,28.04,$208.86M,n/a,Finance,Major Banks
MYL,Mylan N.V.,39.64,$20.15B,n/a,Health Care,Major Pharmaceuticals
MYOK,"MyoKardia, Inc.",11.88,$320.95M,2015,Health Care,Major Pharmaceuticals
MYOS,MYOS RENS Technology Inc.,1.74,$8.79M,n/a,Health Care,Major Pharmaceuticals
MYRG,"MYR Group, Inc.",24.19,$440.91M,n/a,Basic Industries,Water Supply
MYGN,"Myriad Genetics, Inc.",34.55,$2.43B,1995,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBRV,Nabriva Therapeutics AG,8.63,$186.99M,2015,Health Care,Major Pharmaceuticals
NAKD,Naked Brand Group Inc.,1.94,$11.78M,n/a,Consumer Non-Durables,Apparel
NNDM,Nano Dimension Ltd.,6.74,$50.69M,n/a,Technology,Electrical Products
NANO,Nanometrics Incorporated,17.81,$434.55M,1984,Capital Goods,Industrial Machinery/Components
NSPH,"Nanosphere, Inc.",0.75,$9.2M,2007,Health Care,Medical/Dental Instruments
NSTG,"NanoString Technologies, Inc.",14.42,$285.12M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NK,"NantKwest, Inc.",7.75,$634.97M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NSSC,"NAPCO Security Technologies, Inc.",5.67,$106.73M,n/a,Consumer Durables,Telecommunications Equipment
NDAQ,"Nasdaq, Inc.",63.62,$10.47B,n/a,Finance,Investment Bankers/Brokers/Service
NTRA,"Natera, Inc.",11.59,$589.38M,2015,Health Care,Medical Specialities
NATH,"Nathan&#39;s Famous, Inc.",44.78,$194.74M,1993,Consumer Services,Restaurants
NAUH,"National American University Holdings, Inc.",2.036,$49.14M,n/a,Consumer Services,Other Consumer Services
NKSH,"National Bankshares, Inc.",34.33,$238.87M,n/a,Finance,Major Banks
FIZZ,National Beverage Corp.,51.59,$2.4B,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
NCMI,"National CineMedia, Inc.",14.31,$892.83M,2007,Consumer Services,Advertising
NCOM,National Commerce Corporation,23.33,$253.47M,2015,Finance,Major Banks
NGHC,National General Holdings Corp,21.44,$2.26B,n/a,Finance,Property-Casualty Insurers
NGHCO,National General Holdings Corp,25.669,n/a,n/a,Finance,Property-Casualty Insurers
NGHCP,National General Holdings Corp,25.63,$56.39M,n/a,Finance,Property-Casualty Insurers
NGHCZ,National General Holdings Corp,25.0108,n/a,n/a,Finance,Property-Casualty Insurers
NHLD,National Holdings Corporation,3.0301,$37.69M,n/a,Finance,Investment Bankers/Brokers/Service
NATI,National Instruments Corporation,27.2,$3.47B,1995,Technology,Computer Software: Prepackaged Software
NATL,National Interstate Corporation,30.53,$608.34M,2005,Finance,Property-Casualty Insurers
NRCIA,National Research Corporation,14.19,$346.68M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch
NRCIB,National Research Corporation,37.7799,$923.02M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch
NSEC,"National Security Group, Inc.",15.02,$37.74M,n/a,Finance,Life Insurance
NWLI,"National Western Life Group, Inc.",205.97,$748.94M,n/a,Finance,Life Insurance
NAII,"Natural Alternatives International, Inc.",12.62,$85.42M,n/a,Consumer Durables,Specialty Chemicals
NHTC,Natural Health Trends Corp.,36.85,$422.66M,n/a,Consumer Durables,Consumer Specialties
NATR,"Nature&#39;s Sunshine Products, Inc.",8.72,$163.17M,n/a,Health Care,Major Pharmaceuticals
BABY,Natus Medical Incorporated,32.49,$1.08B,2001,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NAVI,Navient Corporation,12.75,$4.21B,n/a,Finance,Investment Bankers/Brokers/Service
NBCP,NB Capital Acquisition Corp.,n/a,n/a,n/a,n/a,n/a
NBTB,NBT Bancorp Inc.,27.97,$1.21B,n/a,Finance,Major Banks
NCIT,"NCI, Inc.",14.42,$194.73M,2005,Technology,EDP Services
NKTR,Nektar Therapeutics,13.29,$1.81B,n/a,Health Care,Major Pharmaceuticals
NEOG,Neogen Corporation,48.02,$1.8B,1989,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NEO,"NeoGenomics, Inc.",8.51,$645.6M,n/a,Health Care,Precision Instruments
NEON,Neonode Inc.,1.63,$71.42M,n/a,Capital Goods,Industrial Machinery/Components
NEOS,"Neos Therapeutics, Inc.",7.84,$125.71M,2015,Health Care,Major Pharmaceuticals
