,Date,Price,Signal,
BANR,8/13/2014,39.43,BUY,108.56
BANR,8/1/2014,40.2,SELL,108.78
BANR,7/21/2014,37.83,BUY,102.57
BANR,7/2/2014,39.54,SELL,102.78
BANR,6/26/2014,39.66,BUY,103.3
BANR,6/20/2014,40.46,SELL,103.51
BANR,6/18/2014,40.06,BUY,102.69
BANR,6/11/2014,40.685,SELL,102.9
BANR,6/3/2014,38.72,BUY,98.13
BANR,5/29/2014,38.23,SHORT,99.8
,,,,
BANX,5/27/2016,16.61,SHORT,185.51
BANX,5/18/2016,16.875,BUY,189.23
BANX,5/10/2016,17.28,SHORT,185.64
BANX,5/6/2016,17.44,BUY,188.11
BANX,5/5/2016,17.28,SHORT,190.63
BANX,5/3/2016,17.4399,BUY,193.17
BANX,4/25/2016,17.4926,SELL,193.56
BANX,4/20/2016,17.62,BUY,195.36
BANX,4/18/2016,17.56,SELL,195.75
BANX,4/8/2016,17.44,BUY,194.8
BANX,4/1/2016,17.2612,SELL,195.19
BANX,3/30/2016,17.598,BUY,199.4
BANX,3/28/2016,17.5525,SELL,199.8
BANX,3/15/2016,17.3901,BUY,198.35
BANX,3/11/2016,17.1394,SELL,198.75
BANX,3/2/2016,15.9363,BUY,185.17
BANX,2/25/2016,15.57,SELL,185.54
BANX,2/23/2016,15.67,BUY,187.11
BANX,2/19/2016,15.29,SELL,187.48
BANX,1/25/2016,14.255,BUY,175.14
BANX,12/11/2015,16.7603,SHORT,152.98
BANX,12/4/2015,16.9285,BUY,155.14
BANX,11/16/2015,17.59,SELL,155.45
BANX,11/12/2015,17.54,BUY,155.32
BANX,11/3/2015,17.58,SELL,155.63
BANX,10/16/2015,17.1,BUY,151.68
BANX,10/12/2015,16.8875,SELL,151.98
BANX,10/1/2015,17.02,BUY,153.48
BANX,9/14/2015,17.68,SELL,153.79
BANX,9/4/2015,17.57,BUY,153.14
BANX,8/27/2015,17.09,SELL,153.45
BANX,8/14/2015,15.7376,BUY,141.59
BANX,7/27/2015,16.2311,SHORT,137.96
BANX,7/21/2015,16.58,BUY,141.49
BANX,6/23/2015,17.8501,SELL,141.77
BANX,6/18/2015,17.5539,BUY,139.7
BANX,6/11/2015,17.976,SELL,139.98
BANX,5/20/2015,16.2749,BUY,126.99
BANX,5/14/2015,16.6401,SHORT,124.76
BANX,5/11/2015,16.6124,BUY,125.05
BANX,4/27/2015,17.7801,SHORT,117.81
BANX,4/20/2015,17.87,BUY,118.88
BANX,4/16/2015,17.815,SHORT,119.73
BANX,4/10/2015,17.775,BUY,119.94
BANX,4/2/2015,17.79,SHORT,120.32
BANX,3/31/2015,17.96,BUY,121.96
BANX,3/17/2015,19.11,SHORT,115.5
BANX,3/12/2015,19.19,BUY,116.45
BANX,2/20/2015,21.515,SELL,116.68
BANX,12/31/2014,19.22,BUY,104.44
BANX,12/19/2014,19.2601,SHORT,104.64
BANX,12/17/2014,19.465,BUY,106.18
BANX,11/13/2014,23.249,SHORT,91.68
BANX,11/6/2014,23.04,BUY,91.22
BANX,9/18/2014,25.262,SELL,91.4
BANX,9/10/2014,25.5361,BUY,92.58
BANX,9/4/2014,25.2139,SELL,92.77
BANX,8/25/2014,25.006,BUY,92.19
BANX,8/18/2014,24.991,SHORT,92.62
BANX,8/7/2014,25.03,BUY,93.14
BANX,7/31/2014,25.215,SHORT,92.83
BANX,7/28/2014,25.375,BUY,93.79
BANX,7/24/2014,25.4675,SELL,93.98
BANX,7/21/2014,25.4749,BUY,94.2
